,id,display_name,works_api_url,works_count,cited_by_count,h_index,country_code
0,https://openalex.org/A5101854927,Hazem Ibrahim,https://api.openalex.org/works?filter=author.id:A5101854927,25,649,12,FI
1,https://openalex.org/A5037300629,Nouar AlDahoul,https://api.openalex.org/works?filter=author.id:A5037300629,88,562,14,AE
2,https://openalex.org/A5007282319,Talal Rahwan,https://api.openalex.org/works?filter=author.id:A5007282319,167,4043,32,AE
3,https://openalex.org/A5018129441,Yasir Zaki,https://api.openalex.org/works?filter=author.id:A5018129441,125,1316,16,AE
4,https://openalex.org/A5058939619,Alvin Zhou,https://api.openalex.org/works?filter=author.id:A5058939619,59,1006,14,US
5,https://openalex.org/A5086524212,Danaë Metaxa,https://api.openalex.org/works?filter=author.id:A5086524212,34,489,12,US
6,https://openalex.org/A5101761867,Shengchun Huang,https://api.openalex.org/works?filter=author.id:A5101761867,21,269,8,CN
7,https://openalex.org/A5101922300,Stephanie Wang,https://api.openalex.org/works?filter=author.id:A5101922300,69,2039,11,US
8,https://openalex.org/A5073672615,Grant Schoenebeck,https://api.openalex.org/works?filter=author.id:A5073672615,138,2597,21,US
9,https://openalex.org/A5101690189,Md Sanzeed Anwar,https://api.openalex.org/works?filter=author.id:A5101690189,8,25,2,US
10,https://openalex.org/A5063223563,Paramveer S. Dhillon,https://api.openalex.org/works?filter=author.id:A5063223563,69,1334,17,US
11,https://openalex.org/A5041252321,Stuart Soroka,https://api.openalex.org/works?filter=author.id:A5041252321,282,13418,55,US
12,https://openalex.org/A5072281431,Lisa Oswald,https://api.openalex.org/works?filter=author.id:A5072281431,16,304,7,DE
13,https://openalex.org/A5026949484,Philipp Lorenz-Spreen,https://api.openalex.org/works?filter=author.id:A5026949484,62,1622,18,DE
14,https://openalex.org/A5037507641,Alexander Wenz,https://api.openalex.org/works?filter=author.id:A5037507641,50,1394,15,DE
15,https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,29,72,4,DE
16,https://openalex.org/A5093405128,Leah von der Heyde,https://api.openalex.org/works?filter=author.id:A5093405128,4,4,2,DE
17,https://openalex.org/A5077795637,Jennifer Pan,https://api.openalex.org/works?filter=author.id:A5077795637,245,6366,28,US
18,https://openalex.org/A5032446414,Yingdan Lu,https://api.openalex.org/works?filter=author.id:A5032446414,39,411,8,US
19,https://openalex.org/A5056247832,Chloe Ahn,https://api.openalex.org/works?filter=author.id:A5056247832,4,23,3,US
20,https://openalex.org/A5087362167,Junghyun Lim,https://api.openalex.org/works?filter=author.id:A5087362167,75,1911,19,KR
21,https://openalex.org/A5048789742,Ashton Anderson,https://api.openalex.org/works?filter=author.id:A5048789742,87,3256,22,CA
22,https://openalex.org/A5050709026,Joshua Introne,https://api.openalex.org/works?filter=author.id:A5050709026,32,474,13,US
23,https://openalex.org/A5093108990,Una Joh,https://api.openalex.org/works?filter=author.id:A5093108990,1,1,1,US
24,https://openalex.org/A5086827245,Ceren Budak,https://api.openalex.org/works?filter=author.id:A5086827245,102,2605,22,US
25,https://openalex.org/A5038833789,Julia Mendelsohn,https://api.openalex.org/works?filter=author.id:A5038833789,22,315,9,US
26,https://openalex.org/A5018810732,Asael H. Sorensen,https://api.openalex.org/works?filter=author.id:A5018810732,2,0,0,
27,https://openalex.org/A5045356775,Asmeret Bier Naugle,https://api.openalex.org/works?filter=author.id:A5045356775,52,78,5,US
28,https://openalex.org/A5033547967,Casey Doyle,https://api.openalex.org/works?filter=author.id:A5033547967,32,96,5,US
29,https://openalex.org/A5082353608,Christian Zingg,https://api.openalex.org/works?filter=author.id:A5082353608,7,284,4,CH
30,https://openalex.org/A5057650206,Frank Schweitzer,https://api.openalex.org/works?filter=author.id:A5057650206,488,12118,56,CH
31,https://openalex.org/A5064475993,Giona Casiraghi,https://api.openalex.org/works?filter=author.id:A5064475993,55,250,10,CH
32,https://openalex.org/A5101754192,Giuseppe Russo,https://api.openalex.org/works?filter=author.id:A5101754192,177,2460,24,IT
33,https://openalex.org/A5075527094,Luca Verginer,https://api.openalex.org/works?filter=author.id:A5075527094,39,349,7,CH
34,https://openalex.org/A5034327826,Patrick Park,https://api.openalex.org/works?filter=author.id:A5034327826,41,227,8,CA
35,https://openalex.org/A5048877432,Bruno Lepri,https://api.openalex.org/works?filter=author.id:A5048877432,344,7762,47,IT
36,https://openalex.org/A5040483533,Eduardo López‐Collazo,https://api.openalex.org/works?filter=author.id:A5040483533,191,7650,42,ES
37,https://openalex.org/A5112025912,Robin Dunbar,https://api.openalex.org/works?filter=author.id:A5112025912,8,200,4,
38,https://openalex.org/A5063166187,Sam G. B. Roberts,https://api.openalex.org/works?filter=author.id:A5063166187,76,3228,22,GB
39,https://openalex.org/A5017040952,Simone Centellegher,https://api.openalex.org/works?filter=author.id:A5017040952,25,148,5,IT
40,https://openalex.org/A5003768044,Valentín Vergara Hidd,https://api.openalex.org/works?filter=author.id:A5003768044,3,5,1,US
41,https://openalex.org/A5043896739,Balaraju Battu,https://api.openalex.org/works?filter=author.id:A5043896739,21,128,6,US
42,https://openalex.org/A5007176508,Alex Pentland,https://api.openalex.org/works?filter=author.id:A5007176508,1033,92595,122,US
43,https://openalex.org/A5054308726,Bernardo García Bulle Bueno,https://api.openalex.org/works?filter=author.id:A5054308726,14,66,5,US
