id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5101854927,Hazem Ibrahim,https://api.openalex.org/works?filter=author.id:A5101854927,12,25,FI
https://openalex.org/A5037300629,Nouar AlDahoul,https://api.openalex.org/works?filter=author.id:A5037300629,14,88,AE
https://openalex.org/A5007282319,Talal Rahwan,https://api.openalex.org/works?filter=author.id:A5007282319,32,167,US
https://openalex.org/A5018129441,Yasir Zaki,https://api.openalex.org/works?filter=author.id:A5018129441,16,127,US
https://openalex.org/A5058939619,Alvin Zhou,https://api.openalex.org/works?filter=author.id:A5058939619,14,59,US
https://openalex.org/A5086524212,Danaë Metaxa,https://api.openalex.org/works?filter=author.id:A5086524212,12,34,US
https://openalex.org/A5101761867,Shengchun Huang,https://api.openalex.org/works?filter=author.id:A5101761867,8,21,CN
https://openalex.org/A5101922300,Stephanie Wang,https://api.openalex.org/works?filter=author.id:A5101922300,11,69,US
https://openalex.org/A5073672615,Grant Schoenebeck,https://api.openalex.org/works?filter=author.id:A5073672615,21,138,US
https://openalex.org/A5101690189,Md Sanzeed Anwar,https://api.openalex.org/works?filter=author.id:A5101690189,2,8,US
https://openalex.org/A5063223563,Paramveer S. Dhillon,https://api.openalex.org/works?filter=author.id:A5063223563,17,69,US
https://openalex.org/A5111056470,S. M. Noh,https://api.openalex.org/works?filter=author.id:A5111056470,4,7,SG
https://openalex.org/A5041252321,Stuart Soroka,https://api.openalex.org/works?filter=author.id:A5041252321,55,282,US
https://openalex.org/A5072281431,Lisa Oswald,https://api.openalex.org/works?filter=author.id:A5072281431,7,16,DE
https://openalex.org/A5026949484,Philipp Lorenz-Spreen,https://api.openalex.org/works?filter=author.id:A5026949484,18,62,DE
https://openalex.org/A5037507641,Alexander Wenz,https://api.openalex.org/works?filter=author.id:A5037507641,15,50,DE
https://openalex.org/A5037838698,Anna‐Carolina Haensch,https://api.openalex.org/works?filter=author.id:A5037838698,4,30,DE
https://openalex.org/A5077795637,Jennifer Pan,https://api.openalex.org/works?filter=author.id:A5077795637,28,245,US
https://openalex.org/A5032446414,Yingdan Lu,https://api.openalex.org/works?filter=author.id:A5032446414,8,39,US
https://openalex.org/A5087362167,Junghyun Lim,https://api.openalex.org/works?filter=author.id:A5087362167,19,75,KR
https://openalex.org/A5048789742,Ashton Anderson,https://api.openalex.org/works?filter=author.id:A5048789742,22,87,US
https://openalex.org/A5050709026,Joshua Introne,https://api.openalex.org/works?filter=author.id:A5050709026,13,32,US
https://openalex.org/A5086827245,Ceren Budak,https://api.openalex.org/works?filter=author.id:A5086827245,22,102,US
